schema,table,row_count
dbo,SY0AW,1237408
dbo,mt02,350480
dbo,sm01,334947
dbo,sm02,334947
dbo,GL01,201735
dbo,dm05a,184960
dbo,BTMP,142229
dbo,DM05FTD,113886
dbo,CCLOGI,103670
dbo,dm05z,95463
dbo,CCLOG,88692
dbo,TA01,75823
dbo,CASH,58423
dbo,dm01p,55274
dbo,rm05,51036
dbo,dm05a_tmp,49969
dbo,EA01,47962
dbo,EMAILNOTIFICATIONCACHE,46188
dbo,dm01,45123
dbo,BTMP_3041,42210
dbo,lm02,41442
dbo,dm05b,35126
dbo,dm05ft,33320
dbo,DISPLOG,32084
dbo,EN01,31938
dbo,APPLY_CREDIT,31144
dbo,dm05z_tmp,31124
dbo,cm19,30875
dbo,rm09,21944
dbo,ci02,18298
dbo,dm01_tmp,16832
dbo,dm05b_tmp,15919
dbo,RM19,15346
dbo,cm04,14748
dbo,dm05ft_tmp,14476
dbo,cp01,14165
dbo,cm03,14160
dbo,cc01,13744
dbo,IM01,13014
dbo,EN02,12865
dbo,rm03,12361
dbo,xref_Sites,12268
dbo,TR03,10528
dbo,MISCTRANLOG,10366
dbo,CC02,10076
dbo,dm05l,7849
dbo,PI03,7582
dbo,Util_AMCS_IncludeCustomers,7477
dbo,cm05,7246
dbo,IM03,5841
dbo,cm11,5592
dbo,RM02b,5487
dbo,rm02,5475
dbo,xref_Routes,5442
dbo,DM05N,4827
dbo,ATCH,4349
dbo,rm03c,4138
dbo,Util_AMCS_Customers,4019
dbo,xref_Invc,4001
dbo,SP03,3528
dbo,BALFWD,2809
dbo,dm05l_tmp,2505
dbo,ENHIST,2496
dbo,ci01,2212
dbo,ExcptContainers,962
dbo,PI02,957
dbo,ADJ,772
dbo,WORKORDEREMAIL,552
dbo,ca01,343
dbo,CSUB02,332
dbo,pc03,288
dbo,cn04,262
dbo,cm21a,253
dbo,cm21b,252
dbo,PB01,245
dbo,BPRM,207
dbo,PETT,190
dbo,rm01,188
dbo,mm01,99
dbo,sy00,96
dbo,cm21c,90
dbo,x_Routes,88
dbo,BTMP_3060,74
dbo,sc02,64
dbo,pc02,61
dbo,x_ServChgs,60
dbo,PETRF,54
dbo,RM05TMP,53
dbo,BTMP_3044,46
dbo,dm05a_tmp_3060,46
dbo,cn03,43
dbo,SP02,40
dbo,sy10,40
dbo,BPRM_1025,39
dbo,BPRM_1026,39
dbo,BPRM_1028,39
dbo,BPRM_1032,39
dbo,BPRM_1039,39
dbo,BPRM_3052,39
dbo,BPRM_3059,39
dbo,BPRM_3060,39
dbo,BPRM_3066,39
dbo,ExcptCOMM,39
dbo,RP01,39
dbo,BPRM_3041,37
dbo,BPRM_3049,37
dbo,BPRM_3053,37
dbo,tr01,36
dbo,BPRM_1029,35
dbo,BPRM_2040,35
dbo,BPRM_3044,35
dbo,BPRM_3050,35
dbo,BPRM_3051,35
dbo,BPRM_3055,35
dbo,rm04,35
dbo,ExcptRoute,33
dbo,cm12,32
dbo,BPRM_1027,28
dbo,lm04,28
dbo,cd02,27
dbo,SPVS,27
dbo,lm05,26
dbo,BTMP_1026,23
dbo,cm24,21
dbo,SP04,20
dbo,sy02,20
dbo,mt00,18
dbo,ONLINEPAYMENT,18
dbo,EMAILNOTIFICATION,16
dbo,sc01,16
dbo,BTMP_3066,15
dbo,VER01,15
dbo,cd11,14
dbo,pp01,14
dbo,cm20,13
dbo,cm21d,13
dbo,pc01,13
dbo,RM17,13
dbo,x_RteServTypes,13
dbo,BATCH_POSTH,12
dbo,BTMP_3053,12
dbo,cd09,12
dbo,dm05z_tmp_3044,12
dbo,x_CustTypes,12
dbo,x_TaxJur,12
dbo,ANN03,11
dbo,cd03,11
dbo,PI01,11
dbo,PI04,11
dbo,cd04,10
dbo,cd22,9
dbo,dm05a_tmp_3049,9
dbo,dm05a_tmp_3066,9
dbo,ExcptINV,9
dbo,rm99,9
dbo,SP01,9
dbo,ANN02,8
dbo,dm05a_tmp_3044,8
dbo,IITACTV,8
dbo,rm00a,8
dbo,x_ContainerTypes,8
dbo,cd05,7
dbo,CM23A,7
dbo,CONTCOLSETUP,7
dbo,BTMP_1032,6
dbo,CM23C,6
dbo,dm05a_tmp_3053,6
dbo,dm05l_tmp_3044,6
dbo,dm05z_tmp_1026,6
dbo,AN01,5
dbo,ANN01,5
dbo,CD16I,5
dbo,CD21,5
dbo,CSUB01,5
dbo,rm03u,5
dbo,Util_AMCS_SiteMatlServType,5
dbo,cd07,4
dbo,cd14,4
dbo,CD35,4
dbo,CD52,4
dbo,dm05a_tmp_1026,4
dbo,ExcptContacts,4
dbo,lm01,4
dbo,lm06,4
dbo,RM18,4
dbo,Util_AMCS_ServTypes,4
dbo,cd13,3
dbo,cm09,3
dbo,dm05l_tmp_1026,3
dbo,dm05z_tmp_3049,3
dbo,rm00c,3
dbo,x_InvoiceActions,3
dbo,x_SalesReps,3
dbo,cd16,2
dbo,cd17,2
dbo,cd19,2
dbo,CD29,2
dbo,dm05z_tmp_1032,2
dbo,dm05z_tmp_3053,2
dbo,dm05z_tmp_3066,2
dbo,IM09,2
dbo,rm00b,2
dbo,x_CollAgents,2
dbo,x_Frequencies,2
dbo,BATCH_POST,1
dbo,BTMP_1028,1
dbo,cd08,1
dbo,cd12,1
dbo,cd15,1
dbo,cd18,1
dbo,CD30,1
dbo,CD32,1
dbo,CD34P,1
dbo,CM23D,1
dbo,dm01_tmp_1026,1
dbo,dm01_tmp_1028,1
dbo,dm01_tmp_1032,1
dbo,dm01_tmp_3044,1
dbo,dm01_tmp_3049,1
dbo,dm01_tmp_3053,1
dbo,dm01_tmp_3060,1
dbo,dm01_tmp_3066,1
dbo,dm05b_tmp_1028,1
dbo,dm05b_tmp_1032,1
dbo,dm05b_tmp_3049,1
dbo,dm05b_tmp_3053,1
dbo,dm05b_tmp_3066,1
dbo,dm05ft_tmp_1026,1
dbo,dm05ft_tmp_1032,1
dbo,dm05ft_tmp_3044,1
dbo,dm05ft_tmp_3049,1
dbo,dm05ft_tmp_3053,1
dbo,dm05ft_tmp_3060,1
dbo,dm05ft_tmp_3066,1
dbo,fc01,1
dbo,FC02,1
dbo,pc04,1
dbo,SL01,1
dbo,sy05,1
dbo,x_NoteTypes,1
dbo,AC01,0
dbo,ACCTOTALS,0
dbo,AN02,0
dbo,AN03,0
dbo,AN04,0
dbo,AN05,0
dbo,AN06,0
dbo,AN07,0
dbo,AN08,0
dbo,ATCHe,0
dbo,ATCHp,0
dbo,BC01,0
dbo,BK01,0
dbo,BL01,0
dbo,BPRM_2039,0
dbo,BPRM_3045,0
dbo,BPRM_3054,0
dbo,BPRM_3056,0
dbo,BPRM_3061,0
dbo,BPRM_3062,0
dbo,BPRM_3065,0
dbo,BPRM_3067,0
dbo,BTMP_1025,0
dbo,BTMP_1027,0
dbo,BTMP_1029,0
dbo,BTMP_1039,0
dbo,BTMP_2039,0
dbo,BTMP_2040,0
dbo,BTMP_3045,0
dbo,BTMP_3049,0
dbo,BTMP_3050,0
dbo,BTMP_3051,0
dbo,BTMP_3052,0
dbo,BTMP_3054,0
dbo,BTMP_3055,0
dbo,BTMP_3056,0
dbo,BTMP_3059,0
dbo,BTMP_3061,0
dbo,BTMP_3062,0
dbo,BTMP_3065,0
dbo,BTMP_3067,0
dbo,ca02,0
dbo,CC01M,0
dbo,cc01P,0
dbo,CC02_TMP,0
dbo,CCLOG_TMP,0
dbo,CCLOG_XREF,0
dbo,cd01,0
dbo,CD05FS,0
dbo,cd06,0
dbo,cd10,0
dbo,CD16IMG,0
dbo,cd20,0
dbo,CD23,0
dbo,CD24,0
dbo,CD25,0
dbo,CD26,0
dbo,CD27,0
dbo,CD28,0
dbo,CD31,0
dbo,CD31P,0
dbo,CD32P,0
dbo,CD36,0
dbo,CD37,0
dbo,CD38,0
dbo,CD39,0
dbo,CD40,0
dbo,CD41,0
dbo,CD42,0
dbo,CD43,0
dbo,CD44,0
dbo,CD45,0
dbo,CD46,0
dbo,CD47,0
dbo,CD48,0
dbo,CD49,0
dbo,CD50,0
dbo,CD51,0
dbo,CD53,0
dbo,CD54,0
dbo,CD55,0
dbo,CD56,0
dbo,cd99,0
dbo,CI02G,0
dbo,CI02T,0
dbo,CL01,0
dbo,CL02,0
dbo,CL04,0
dbo,CM03p,0
dbo,CM04p,0
dbo,CM05p,0
dbo,CM09p,0
dbo,cm14,0
dbo,cm14a,0
dbo,CM19p,0
dbo,cm21e,0
dbo,cm22,0
dbo,CM23B,0
dbo,CM23E,0
dbo,CM23F,0
dbo,CM23G,0
dbo,CN03P,0
dbo,cn04P,0
dbo,CN05P,0
dbo,CN06P,0
dbo,CN07p,0
dbo,CONTATTACH,0
dbo,CONTCOL,0
dbo,CONTCOLA,0
dbo,CONTCOLASETUP,0
dbo,CONTCOLSTYPE,0
dbo,CONTCOLSTYPECONT,0
dbo,CONTD,0
dbo,CONTH,0
dbo,CONTLEGALSETUP,0
dbo,CONTNOTE,0
dbo,CONTPROSPECT,0
dbo,CONTRATE,0
dbo,CONTRATEAM,0
dbo,CONTSITE,0
dbo,CONVP,0
dbo,CP01hp,0
dbo,CP01tp,0
dbo,CP02,0
dbo,CR01,0
dbo,CR02,0
dbo,CSPOPUP,0
dbo,DISPLOGW,0
dbo,dm01_tmp_1025,0
dbo,dm01_tmp_1027,0
dbo,dm01_tmp_1029,0
dbo,dm01_tmp_1039,0
dbo,dm01_tmp_2039,0
dbo,dm01_tmp_2040,0
dbo,dm01_tmp_3041,0
dbo,dm01_tmp_3045,0
dbo,dm01_tmp_3050,0
dbo,dm01_tmp_3051,0
dbo,dm01_tmp_3052,0
dbo,dm01_tmp_3054,0
dbo,dm01_tmp_3055,0
dbo,dm01_tmp_3056,0
dbo,dm01_tmp_3059,0
dbo,dm01_tmp_3061,0
dbo,dm01_tmp_3062,0
dbo,dm01_tmp_3065,0
dbo,dm01_tmp_3067,0
dbo,dm03,0
dbo,dm05a_tmp_1025,0
dbo,dm05a_tmp_1027,0
dbo,dm05a_tmp_1028,0
dbo,dm05a_tmp_1029,0
dbo,dm05a_tmp_1032,0
dbo,dm05a_tmp_1039,0
dbo,dm05a_tmp_2039,0
dbo,dm05a_tmp_2040,0
dbo,dm05a_tmp_3041,0
dbo,dm05a_tmp_3045,0
dbo,dm05a_tmp_3050,0
dbo,dm05a_tmp_3051,0
dbo,dm05a_tmp_3052,0
dbo,dm05a_tmp_3054,0
dbo,dm05a_tmp_3055,0
dbo,dm05a_tmp_3056,0
dbo,dm05a_tmp_3059,0
dbo,dm05a_tmp_3061,0
dbo,dm05a_tmp_3062,0
dbo,dm05a_tmp_3065,0
dbo,dm05a_tmp_3067,0
dbo,dm05b_tmp_1025,0
dbo,dm05b_tmp_1026,0
dbo,dm05b_tmp_1027,0
dbo,dm05b_tmp_1029,0
dbo,dm05b_tmp_1039,0
dbo,dm05b_tmp_2039,0
dbo,dm05b_tmp_2040,0
dbo,dm05b_tmp_3041,0
dbo,dm05b_tmp_3044,0
dbo,dm05b_tmp_3045,0
dbo,dm05b_tmp_3050,0
dbo,dm05b_tmp_3051,0
dbo,dm05b_tmp_3052,0
dbo,dm05b_tmp_3054,0
dbo,dm05b_tmp_3055,0
dbo,dm05b_tmp_3056,0
dbo,dm05b_tmp_3059,0
dbo,dm05b_tmp_3060,0
dbo,dm05b_tmp_3061,0
dbo,dm05b_tmp_3062,0
dbo,dm05b_tmp_3065,0
dbo,dm05b_tmp_3067,0
dbo,DM05C,0
dbo,dm05ft_tmp_1025,0
dbo,dm05ft_tmp_1027,0
dbo,dm05ft_tmp_1028,0
dbo,dm05ft_tmp_1029,0
dbo,dm05ft_tmp_1039,0
dbo,dm05ft_tmp_2039,0
dbo,dm05ft_tmp_2040,0
dbo,dm05ft_tmp_3041,0
dbo,dm05ft_tmp_3045,0
dbo,dm05ft_tmp_3050,0
dbo,dm05ft_tmp_3051,0
dbo,dm05ft_tmp_3052,0
dbo,dm05ft_tmp_3054,0
dbo,dm05ft_tmp_3055,0
dbo,dm05ft_tmp_3056,0
dbo,dm05ft_tmp_3059,0
dbo,dm05ft_tmp_3061,0
dbo,dm05ft_tmp_3062,0
dbo,dm05ft_tmp_3065,0
dbo,dm05ft_tmp_3067,0
dbo,dm05l_tmp_1025,0
dbo,dm05l_tmp_1027,0
dbo,dm05l_tmp_1028,0
dbo,dm05l_tmp_1029,0
dbo,dm05l_tmp_1032,0
dbo,dm05l_tmp_1039,0
dbo,dm05l_tmp_2039,0
dbo,dm05l_tmp_2040,0
dbo,dm05l_tmp_3041,0
dbo,dm05l_tmp_3045,0
dbo,dm05l_tmp_3049,0
dbo,dm05l_tmp_3050,0
dbo,dm05l_tmp_3051,0
dbo,dm05l_tmp_3052,0
dbo,dm05l_tmp_3053,0
dbo,dm05l_tmp_3054,0
dbo,dm05l_tmp_3055,0
dbo,dm05l_tmp_3056,0
dbo,dm05l_tmp_3059,0
dbo,dm05l_tmp_3060,0
dbo,dm05l_tmp_3061,0
dbo,dm05l_tmp_3062,0
dbo,dm05l_tmp_3065,0
dbo,dm05l_tmp_3066,0
dbo,dm05l_tmp_3067,0
dbo,DM05PA,0
dbo,dm05z_tmp_1025,0
dbo,dm05z_tmp_1027,0
dbo,dm05z_tmp_1028,0
dbo,dm05z_tmp_1029,0
dbo,dm05z_tmp_1039,0
dbo,dm05z_tmp_2039,0
dbo,dm05z_tmp_2040,0
dbo,dm05z_tmp_3041,0
dbo,dm05z_tmp_3045,0
dbo,dm05z_tmp_3050,0
dbo,dm05z_tmp_3051,0
dbo,dm05z_tmp_3052,0
dbo,dm05z_tmp_3054,0
dbo,dm05z_tmp_3055,0
dbo,dm05z_tmp_3056,0
dbo,dm05z_tmp_3059,0
dbo,dm05z_tmp_3060,0
dbo,dm05z_tmp_3061,0
dbo,dm05z_tmp_3062,0
dbo,dm05z_tmp_3065,0
dbo,dm05z_tmp_3067,0
dbo,DT01,0
dbo,DVIRD,0
dbo,DVIRDIMG,0
dbo,DVIRH,0
dbo,DVIRHSIG,0
dbo,EC01,0
dbo,ET01,0
dbo,ET02,0
dbo,ExcptCust,0
dbo,ExcptServ,0
dbo,FL01,0
dbo,FL02,0
dbo,FL03,0
dbo,FL04,0
dbo,FL05,0
dbo,FL06,0
dbo,FL07,0
dbo,FL08,0
dbo,FL08a,0
dbo,FL09,0
dbo,FL10,0
dbo,FL11,0
dbo,FRGT,0
dbo,GL01_TMP,0
dbo,GL01_TMP_1025,0
dbo,GL01_TMP_1026,0
dbo,GL01_TMP_1027,0
dbo,GL01_TMP_1028,0
dbo,GL01_TMP_1029,0
dbo,GL01_TMP_1032,0
dbo,GL01_TMP_1039,0
dbo,GL01_TMP_2039,0
dbo,GL01_TMP_2040,0
dbo,GL01_TMP_3041,0
dbo,GL01_TMP_3044,0
dbo,GL01_TMP_3045,0
dbo,GL01_TMP_3049,0
dbo,GL01_TMP_3050,0
dbo,GL01_TMP_3051,0
dbo,GL01_TMP_3052,0
dbo,GL01_TMP_3053,0
dbo,GL01_TMP_3054,0
dbo,GL01_TMP_3055,0
dbo,GL01_TMP_3056,0
dbo,GL01_TMP_3059,0
dbo,GL01_TMP_3060,0
dbo,GL01_TMP_3061,0
dbo,GL01_TMP_3062,0
dbo,GL01_TMP_3065,0
dbo,GL01_TMP_3066,0
dbo,GL01_TMP_3067,0
dbo,GLOB,0
dbo,Global_Suspend,0
dbo,GTMP,0
dbo,HB01,0
dbo,IL00,0
dbo,IL01,0
dbo,IL02D,0
dbo,IL02H,0
dbo,IL02V,0
dbo,IM02,0
dbo,IM03LF,0
dbo,IM04,0
dbo,IM05,0
dbo,im06,0
dbo,IM07,0
dbo,IM07LF,0
dbo,IM08LF,0
dbo,IM08LF_XREF,0
dbo,IM10,0
dbo,IM11,0
dbo,IT01,0
dbo,KT01,0
dbo,KT03,0
dbo,KT04,0
dbo,KT05,0
dbo,LD01,0
dbo,LEEDW_BREAKDOWN,0
dbo,LEEDW_MATERIAL,0
dbo,LF01,0
dbo,LF04,0
dbo,LF05C,0
dbo,LF05D,0
dbo,LF05H,0
dbo,LF05O,0
dbo,LF05T,0
dbo,LF05X,0
dbo,LF10D,0
dbo,LF10F,0
dbo,LF10H,0
dbo,LF10T,0
dbo,LF22,0
dbo,LFSIG,0
dbo,LK01,0
dbo,LM01O,0
dbo,LM03,0
dbo,lm09,0
dbo,MATLDENS,0
dbo,ME01,0
dbo,mp06,0
dbo,mp07,0
dbo,mp11,0
dbo,mp12,0
dbo,MP13,0
dbo,MPRIC,0
dbo,MR01D,0
dbo,MR01H,0
dbo,MT02T,0
dbo,OPERROR,0
dbo,PCZONE,0
dbo,PETLOG,0
dbo,PI03T,0
dbo,PI05,0
dbo,PM01,0
dbo,PM02,0
dbo,PS01hp,0
dbo,PT01,0
dbo,PT03,0
dbo,RCINT,0
dbo,RG01,0
dbo,RG02,0
dbo,RG03,0
dbo,RG04,0
dbo,RG05,0
dbo,RG06,0
dbo,RG07,0
dbo,RG09,0
dbo,RM02a,0
dbo,RM03A,0
dbo,RM04p,0
dbo,rm06,0
dbo,RM07,0
dbo,rm08,0
dbo,rm14,0
dbo,rm16,0
dbo,RM20,0
dbo,RMODD,0
dbo,RMODE,0
dbo,RMODH,0
dbo,RMODS,0
dbo,RO01,0
dbo,RO02,0
dbo,RO03,0
dbo,RO04,0
dbo,RO05,0
dbo,RO06,0
dbo,RPLAND,0
dbo,RPLANH,0
dbo,RT02,0
dbo,RT03,0
dbo,RT04,0
dbo,RV01,0
dbo,SA01,0
dbo,SC01P,0
dbo,SCT,0
dbo,SP01LF,0
dbo,SP02LF,0
dbo,SP03LF,0
dbo,SP04LF,0
dbo,SP05LF,0
dbo,STAGED,0
dbo,SY0A,0
dbo,SY0B,0
dbo,SY0BW,0
dbo,SYMP,0
dbo,TA02,0
dbo,TA02RECEIVED,0
dbo,TA02RECIPIENT,0
dbo,TA02STATUS,0
dbo,TC01,0
dbo,TF01,0
dbo,TR01LF,0
dbo,TR01LFC,0
dbo,TR01LFO,0
dbo,TR02LF,0
dbo,TRUXIITACTV,0
dbo,Util_AMCS_CC_Exceptions,0
dbo,VE01,0
dbo,VE02,0
dbo,VS01,0
dbo,xref_AttachChg,0
dbo,ZONED,0
dbo,ZONEH,0
dbo,ZONESP,0
