MT02_CODE,MT00_DESC,Lines
2,Fuel Surcharge,179181
11,COL Landfill Charge,95011
4,Administration Fee,32632
3,Late Fee,21658
XX,Balance Forward,9118
10,Fuel Surcharge Discount,7157
12,Invoice - Environmental Fee,2797
9,Rental Fee,2154
7,NSF Check Fee,572
15,May-2025 Promo: COL Surcharge Discount,46
14,May-2025 Promo: Fuel Surcharge Discount,46
8,NSF Check Return,44
6,Compactor Repair,30
5,Miscellaneous,16
13,Cancelled Contract,12
1,Container Wash Out,4
16,Jun-2025 Promo: Fuel Surcharge Discount,1
17,Jun-2025 Promo: COL Surcharge Discount,1
