parent,pcol,ref,rcol
[dbo].[APPLY_CREDIT],APPLY_CUST,[dbo].[cm03],CM03_CUST
[dbo].[APPLY_CREDIT],APPLY_CUST,[dbo].[cm04],CM04_CUST
[dbo].[APPLY_CREDIT],APPLY_SITE,[dbo].[cm04],CM04_SITE
[dbo].[ATCH],ATCH_CUST,[dbo].[cm03],CM03_CUST
[dbo].[ATCH],ATCH_CUST,[dbo].[cm04],CM04_CUST
[dbo].[ATCH],ATCH_CUST,[dbo].[cm05],CM05_CUST
[dbo].[ATCH],ATCH_SERV,[dbo].[cm05],CM05_SERV
[dbo].[ATCH],ATCH_SITE,[dbo].[cm04],CM04_SITE
[dbo].[ATCH],ATCH_SITE,[dbo].[cm05],CM05_SITE
[dbo].[cc01],CC01_CUST,[dbo].[cm03],CM03_CUST
[dbo].[cc01],CC01_CUST,[dbo].[cm04],CM04_CUST
[dbo].[cc01],CC01_SITE,[dbo].[cm04],CM04_SITE
[dbo].[CC02],CC02_CUST,[dbo].[cm03],CM03_CUST
[dbo].[CC02],CC02_CUST,[dbo].[cm04],CM04_CUST
[dbo].[CC02],CC02_SITE,[dbo].[cm04],CM04_SITE
[dbo].[CC02_TMP],CC02_TMP_CUST,[dbo].[cm03],CM03_CUST
[dbo].[CC02_TMP],CC02_TMP_CUST,[dbo].[cm04],CM04_CUST
[dbo].[CC02_TMP],CC02_TMP_SITE,[dbo].[cm04],CM04_SITE
[dbo].[CI02G],CI02G_CUST,[dbo].[cm05],CM05_CUST
[dbo].[CI02G],CI02G_SERV,[dbo].[cm05],CM05_SERV
[dbo].[CI02G],CI02G_SITE,[dbo].[cm05],CM05_SITE
[dbo].[cm03],CM03_BILG,[dbo].[CD56],CD56_CODE
[dbo].[cm03],CM03_BROKE,[dbo].[BK01],BK01_ID
[dbo].[cm03],CM03_COLLAGNT,[dbo].[CD52],CD52_CODE
[dbo].[cm03],CM03_CURR,[dbo].[cd08],CD08_CODE
[dbo].[cm03],CM03_CUSTTYPE,[dbo].[cd11],CD11_CODE
[dbo].[cm03],CM03_DEFPC,[dbo].[pc01],PC01_ID
[dbo].[cm03],CM03_EREA,[dbo].[CD31],CD31_CODE
[dbo].[cm03],CM03_INVACTION,[dbo].[CD35],CD35_CODE
[dbo].[cm03],CM03_LOST,[dbo].[CD29],CD29_CODE
[dbo].[cm03],CM03_SREP,[dbo].[cd07],CD07_CODE
[dbo].[cm03],CM03_SUSREA,[dbo].[cd03],CD03_CODE
[dbo].[cm03],CM03_TXJU,[dbo].[cd09],CD09_CODE
[dbo].[CM03p],CM03P_CUSTLINK,[dbo].[cm03],CM03_CUST
[dbo].[cm04],CM04_BUCD,[dbo].[cd01],CD01_CODE
[dbo].[cm04],CM04_CONT,[dbo].[cc01],CC01_NUM
[dbo].[cm04],CM04_CURR,[dbo].[cd08],CD08_CODE
[dbo].[cm04],CM04_CUST,[dbo].[cm03],CM03_CUST
[dbo].[cm04],CM04_DEFPC,[dbo].[pc01],PC01_ID
[dbo].[cm04],CM04_INVACTION,[dbo].[CD35],CD35_CODE
[dbo].[cm04],CM04_LOST,[dbo].[CD29],CD29_CODE
[dbo].[cm04],CM04_MAP,[dbo].[rm06],RM06_CODE
[dbo].[cm04],CM04_PCLASS,[dbo].[pc01],PC01_ID
[dbo].[cm04],CM04_SREP,[dbo].[cd07],CD07_CODE
[dbo].[cm04],CM04_SUSREA,[dbo].[cd03],CD03_CODE
[dbo].[cm04],CM04_TXJU,[dbo].[cd09],CD09_CODE
[dbo].[cm04],CM04_ZONE,[dbo].[ZONEH],ZONEH_CODE
[dbo].[CM04p],CM04P_CUSTLINK,[dbo].[cm04],CM04_CUST
[dbo].[CM04p],CM04P_SITELINK,[dbo].[cm04],CM04_SITE
[dbo].[cm05],CM05_CTG,[dbo].[CD50],CD50_CODE
[dbo].[cm05],CM05_CUST,[dbo].[cm04],CM04_CUST
[dbo].[cm05],CM05_CYCL,[dbo].[cd17],CD17_CODE
[dbo].[cm05],CM05_ECOD,[dbo].[cd03],CD03_CODE
[dbo].[cm05],CM05_FAC,[dbo].[lm01],LM01_DSTE
[dbo].[cm05],CM05_LOST,[dbo].[CD29],CD29_CODE
[dbo].[cm05],CM05_MATL,[dbo].[lm04],LM04_CODE
[dbo].[cm05],CM05_SITE,[dbo].[cm04],CM04_SITE
[dbo].[cm05],CM05_TYPE,[dbo].[cd05],CD05_CODE
[dbo].[cm05],CM05_UOM,[dbo].[cd04],CD04_CODE
[dbo].[cm05],CM05_WDACTV,[dbo].[cm12],CM12_CODE
[dbo].[CM05p],CM05P_CUSTLINK,[dbo].[cm05],CM05_CUST
[dbo].[CM05p],CM05P_SERVLINK,[dbo].[cm05],CM05_SERV
[dbo].[CM05p],CM05P_SITELINK,[dbo].[cm05],CM05_SITE
[dbo].[cm09],CM09_CUST,[dbo].[cm04],CM04_CUST
[dbo].[cm09],CM09_CUST,[dbo].[cm05],CM05_CUST
[dbo].[cm09],CM09_SERV,[dbo].[cm05],CM05_SERV
[dbo].[cm09],CM09_SITE,[dbo].[cm04],CM04_SITE
[dbo].[cm09],CM09_SITE,[dbo].[cm05],CM05_SITE
[dbo].[cm11],CM11_CUST,[dbo].[cm03],CM03_CUST
[dbo].[cm11],CM11_CUST,[dbo].[cm04],CM04_CUST
[dbo].[cm11],CM11_SITE,[dbo].[cm04],CM04_SITE
[dbo].[cm19],CM19_CUST,[dbo].[cm05],CM05_CUST
[dbo].[cm19],CM19_SERV,[dbo].[cm05],CM05_SERV
[dbo].[cm19],CM19_SITE,[dbo].[cm05],CM05_SITE
[dbo].[cn03],CN03_CUST,[dbo].[cm03],CM03_CUST
[dbo].[cn04],CN04_CUST,[dbo].[cm04],CM04_CUST
[dbo].[cn04],CN04_SITE,[dbo].[cm04],CM04_SITE
[dbo].[cn04P],CN04_CUST,[dbo].[cm03],CM03_CUST
[dbo].[CONTH],CONTH_CUST,[dbo].[cm03],CM03_CUST
[dbo].[CONTH],CONTH_CUST,[dbo].[cm04],CM04_CUST
[dbo].[CONTH],CONTH_SITE,[dbo].[cm04],CM04_SITE
[dbo].[CONTSITE],CONTSITE_CUST,[dbo].[cm03],CM03_CUST
[dbo].[cp01],CP01_CUST,[dbo].[cm03],CM03_CUST
[dbo].[cp01],CP01_CUST,[dbo].[cm04],CM04_CUST
[dbo].[cp01],CP01_SITE,[dbo].[cm04],CM04_SITE
[dbo].[CP02],CP02_CUST,[dbo].[cm03],CM03_CUST
[dbo].[CR02],CR02_CUST,[dbo].[cm03],CM03_CUST
[dbo].[CSPOPUP],CSPOPUP_CUST,[dbo].[cm03],CM03_CUST
[dbo].[dm01],DM01_CUST,[dbo].[cm03],CM03_CUST
