schema,table,column,type,max_length,is_nullable,has_default
dbo,cd03,CD03_CODE,varchar,2,0,0
dbo,cd03,CD03_DESC,nvarchar,80,0,0
dbo,cd03,CD03_STOPBILL,bit,1,0,1
dbo,cd03,CD03_NONPAY,bit,1,0,1
dbo,cd03,CD03_CREDIT,bit,1,0,1
dbo,cd03,CD03_ACTIVE,bit,1,0,1
dbo,cd03,CD03_REMOVE,bit,1,0,1
dbo,cd03,CD03_LOST,bit,1,0,1
dbo,cd03,CD03_SEASONAL,bit,1,0,1
dbo,cd03,CD03_CREDITSTOPDATE,bit,1,0,1
dbo,cm03,CM03_CUST,int,4,0,0
dbo,cm03,CM03_NAME,nvarchar,80,1,0
dbo,cm03,CM03_CUSTTYPE,varchar,2,1,0
dbo,cm03,CM03_ADD1,nvarchar,80,1,0
dbo,cm03,CM03_ADD2,nvarchar,80,1,0
dbo,cm03,CM03_ADD3,nvarchar,80,1,0
dbo,cm03,CM03_CITY,nvarchar,80,1,0
dbo,cm03,CM03_STAT,nvarchar,4,1,0
dbo,cm03,CM03_PZIP,nvarchar,18,1,0
dbo,cm03,CM03_PHON,nvarchar,20,1,0
dbo,cm03,CM03_FAX,nvarchar,20,1,0
dbo,cm03,CM03_CONT,int,4,1,0
dbo,cm03,CM03_SREP,int,4,1,0
dbo,cm03,CM03_AGRE,nvarchar,40,1,0
dbo,cm03,CM03_ADTE,smalldatetime,4,1,0
dbo,cm03,CM03_XDTE,smalldatetime,4,1,0
dbo,cm03,CM03_ALPH,nvarchar,30,1,0
dbo,cm03,CM03_ICHG,bit,1,0,1
dbo,cm03,CM03_CDTE,smalldatetime,4,1,0
dbo,cm03,CM03_CRED,decimal,9,1,0
dbo,cm03,CM03_WARN,decimal,9,1,0
dbo,cm03,CM03_CARR,nvarchar,14,1,0
dbo,cm03,CM03_TXJU,varchar,2,1,0
dbo,cm03,CM03_SUSREA,varchar,2,1,0
dbo,cm03,CM03_SUSDATE,smalldatetime,4,1,0
dbo,cm03,CM03_CCARDTYPE,varchar,2,1,0
dbo,cm03,CM03_CCARDNUM,varchar,25,1,0
dbo,cm03,CM03_CCARDEXP,varchar,5,1,0
dbo,cm03,CM03_CURR,int,4,1,0
dbo,cm03,CM03_FLD1,varchar,50,1,0
dbo,cm03,CM03_FLD2,varchar,50,1,0
dbo,cm03,CM03_FLD3,varchar,50,1,0
