schema,table,column,type
dbo,cm03,CM03_ADTE,smalldatetime
dbo,cm03,CM03_CDTE,smalldatetime
dbo,cm03,CM03_DRIVERNOTEEXPIRES,smalldatetime
dbo,cm03,CM03_DRIVERNOTESTART,smalldatetime
dbo,cm03,CM03_INVNOTEEXPIRES,smalldatetime
dbo,cm03,CM03_REINSDATE,smalldatetime
dbo,cm03,CM03_SUSDATE,smalldatetime
dbo,cm03,CM03_XDTE,smalldatetime
dbo,cm04,CM04_ADTE,smalldatetime
dbo,cm04,CM04_EDTE,smalldatetime
dbo,cm04,CM04_ETIM,smalldatetime
dbo,cm04,CM04_INVNOTEEXPIRES,smalldatetime
dbo,cm04,CM04_REINSDATE,smalldatetime
dbo,cm04,CM04_STIM,smalldatetime
dbo,cm04,CM04_SUSDATE,smalldatetime
dbo,cm04,CM04_XDTE,smalldatetime
dbo,cm05,CM05_ADTE,smalldatetime
dbo,cm05,CM05_BDTE,smalldatetime
dbo,cm05,CM05_BILLTODT,smalldatetime
dbo,cm05,CM05_DEMDATE,smalldatetime
dbo,cm05,CM05_DEMDATEO,smalldatetime
dbo,cm05,CM05_DRIVERNOTEEXPIRES,smalldatetime
dbo,cm05,CM05_DRIVERNOTESTART,smalldatetime
dbo,cm05,CM05_EDTE,smalldatetime
dbo,cm05,CM05_EFFD,smalldatetime
dbo,cm05,CM05_GDTE,smalldatetime
dbo,cm05,CM05_REINSDATE,smalldatetime
dbo,cm05,CM05_SDTE,smalldatetime
dbo,cm05,CM05_WDLASTDATE,smalldatetime
dbo,cm05,CM05_XDTE,smalldatetime
