ActCode,DescMax,FirstDate,LastDate,Calls
2,Regular Pick Up,2021-03-01,2025-09-26,284544
21,Dump & Return,2021-03-01,2025-09-30,37268
27,Rate per pickup,2022-03-17,2025-09-25,3191
1,Delivery,2021-03-01,2025-09-26,3106
3,Extra Pick Up,2021-03-01,2025-09-25,2603
22,Dump & Final,2021-03-01,2025-09-30,1889
5,Removal,2021-03-23,2025-09-15,941
7,Exchange Container,2021-03-01,2025-01-17,810
8,Dry Run,2021-07-07,2025-09-29,282
26,Blocked,2021-07-21,2025-09-30,124
6,Relocate,2021-03-01,2025-09-16,122
23,Dump & Return Flat Rate,2021-03-10,2025-09-23,55
4,On Call Pick Up,2021-12-16,2025-04-18,9
24,Dump and Final Flat Rate,2021-09-30,2022-02-28,2
29,STORAGE DELIVERY FEE,2025-04-04,2025-04-04,1
