CM05_CUST,CM05_SITE,CM05_SERV_INT,CM05_TYPE,CM05_SIZE,LastServiceDate
200216,1,1,R1,30,2025-09-30
200632,1,1,R1,15,2025-09-30
200746,1,1,R1,30,2025-09-30
200809,1,1,R1,30,2025-09-30
201649,1,1,R1,10,2025-09-30
203268,1,1,R1,30,2025-09-30
203654,1,1,R1,30,2025-09-30
205033,3,2,R1,30,2025-09-30
205537,1,1,R2,30,2025-09-30
205784,1,1,R1,30,2025-09-30
206875,1,1,R1,30,2025-09-30
208792,1,1,R1,30,2025-09-30
208886,1,1,R1,30,2025-09-30
209974,1,1,R2,30,2025-09-30
210378,1,2,R1,30,2025-09-30
210791,1,1,R1,30,2025-09-30
211312,1,1,R1,30,2025-09-30
211450,1,1,R2,30,2025-09-30
212205,1,1,R1,30,2025-09-30
212256,1,2,R2,30,2025-09-30
213344,1,1,R1,30,2025-09-30
213894,1,1,R1,30,2025-09-30
214049,1,1,R1,15,2025-09-30
214339,2,1,R1,30,2025-09-30
216001,1,1,R1,30,2025-09-30
216006,1,1,R1,15,2025-09-30
216066,1,1,R1,30,2025-09-30
216102,1,1,R1,30,2025-09-30
216121,1,1,R1,30,2025-09-30
216131,1,1,R1,30,2025-09-30
216135,1,1,R1,30,2025-09-30
200907,1,1,R1,30,2025-09-29
201755,1,2,R1,30,2025-09-29
201871,1,1,R1,30,2025-09-29
202702,2,1,R1,30,2025-09-29
203168,1,1,R1,30,2025-09-29
205947,9,1,R1,30,2025-09-29
207516,1,1,R1,30,2025-09-29
208512,1,1,R1,30,2025-09-29
210131,1,1,R1,30,2025-09-29
210584,1,2,R2,30,2025-09-29
210833,1,1,R1,30,2025-09-29
210918,1,1,R2,30,2025-09-29
211153,1,1,R1,30,2025-09-29
211253,1,1,R1,30,2025-09-29
213474,8,1,R1,30,2025-09-29
214100,1,1,R2,30,2025-09-29
214441,1,1,R1,30,2025-09-29
215996,1,1,R1,40,2025-09-29
216132,1,1,R1,30,2025-09-29
200770,1,2,R1,30,2025-09-27
203347,1,1,R1,30,2025-09-27
204273,1,1,R1,30,2025-09-27
206091,1,1,R2,40,2025-09-27
206938,1,1,R1,30,2025-09-27
209972,1,2,R2,30,2025-09-27
210340,1,1,R1,30,2025-09-27
210431,1,1,R1,30,2025-09-27
211242,1,1,R1,30,2025-09-27
212307,2,1,R1,40,2025-09-27
213612,2,1,R1,30,2025-09-27
214368,1,1,R1,30,2025-09-27
214368,2,1,R1,30,2025-09-27
215878,1,1,R1,30,2025-09-27
216029,1,1,R1,30,2025-09-27
200309,1,1,F1,8,2025-09-26
200309,1,2,F1,2,2025-09-26
201216,1,1,R1,30,2025-09-26
202091,1,1,R1,30,2025-09-26
204971,1,1,R1,30,2025-09-26
