Ticket,Date,Customer - Site - Service,Service,Container Size,Material,Route,Truck,Quantity,Per,Disposal Rate,Per,Disposal Cost,Quantity Billed,Per,Bill Rate,Per,Amount
10467901,08/01/25,215864-0001-001 247 USDS,R1,30.0,28,5226,62,9.91,TN,$46.50,/ TN,$460.82,9.91,TN,$46.50,/ TN,$460.82
1046795,08/01/25,213543-0001-001 K-FLEX USA LAREDO,R1,30.0,28,5224,57,1.44,TN,$46.50,/ TN,$66.96,1.44,TN,$46.50,/ TN,$66.96
1046822,08/01/25,210842-0001-001 ASCENT FOODS,R1,30.0,13,5221,56,3.02,TN,$216.50,/ TN,$653.83,3.02,TN,$216.50,/ TN,$653.83
1046841,08/01/25,206290-0002-001 UNION PACIFIC,R1,15.0,28,5227,37,1.06,TN,$46.50,/ TN,$49.29,1.06,TN,$46.50,/ TN,$49.29
1046842,08/01/25,213405-0001-001 EXPEDITOR'S INT'L OF WASHINGTON,R1,30.0,28,5221,56,0.67,TN,$46.50,/ TN,$31.16,0.67,TN,$46.50,/ TN,$31.16
1046868,08/01/25,210392-0002-002 LOPEZ ADRI FORWARDING LLC,R1,30.0,28,5223,79,3.36,TN,$46.50,/ TN,$156.24,3.36,TN,$46.50,/ TN,$156.24
1046908,08/01/25,208886-0001-001 FONTAINE MODIFICATION,R1,30.0,28,5224,57,0.73,TN,$46.50,/ TN,$33.95,0.73,TN,$46.50,/ TN,$33.95
1046913,08/01/25,215878-0001-001 MEXUS COLD STORAGE,R1,30.0,28,5226,62,0.38,TN,$46.50,/ TN,$17.67,0.38,TN,$46.50,/ TN,$17.67
1046920,08/01/25,201871-0001-001 LASER FORWARDING,R1,30.0,28,5225,42,1.25,TN,$46.50,/ TN,$58.13,1.25,TN,$46.50,/ TN,$58.13
1046944,08/01/25,214049-0001-001 TP COCINA LLC,R1,15.0,28,5227,37,0.43,TN,$46.50,/ TN,$20.00,0.43,TN,$46.50,/ TN,$20.00
1046952,08/01/25,215534-0002-001 NAVA TRUCKING,R1,30.0,28,5221,56,2.86,TN,$46.50,/ TN,$132.99,2.86,TN,$46.50,/ TN,$132.99
1046986,08/01/25,216001-0001-001 GFL ENVIRONMENTAL,R1,30.0,28,5223,79,1.17,TN,$46.50,/ TN,$54.41,1.17,TN,$46.50,/ TN,$54.41
1046997,08/01/25,211450-0001-001 DOCTORS HOSPITAL-COMP,R2,30.0,28,5224,57,3.95,TN,$46.50,/ TN,$183.68,3.95,TN,$46.50,/ TN,$183.68
