DateIn,Site,Ticket,Operator,CustNum,Customer,Reference,Vehicle,Rolloff,TransType,Amount,Found in Trux
1/2/2025,44,947611,ROSIE,96,SOUTHERN SANITATION SERVICE,HEB,#93,,CHG  SALE,$464.50,Yes
1/2/2025,44,947614,ROSIE,96,SOUTHERN SANITATION SERVICE,,#82 00,,CHG  SALE,$20.40,Yes
1/2/2025,44,947653,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-4 334,,CHG  SALE,$53.00,Yes
1/2/2025,44,947670,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 260,,CHG  SALE,$52.50,Yes
1/2/2025,44,947673,SANDY,96,SOUTHERN SANITATION SERVICE,,#94 160,,CHG  SALE,$16.70,Yes
1/2/2025,44,947676,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 80,,CHG  SALE,$8.30,Yes
1/2/2025,44,947686,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 218,,CHG  SALE,$45.10,Yes
1/2/2025,44,947690,ROSIE,98,S.S.S. MINI ROLL-OFF,,#82 015,,CHG  SALE,$6.50,Yes
1/2/2025,44,947727,SANDY,96,SOUTHERN SANITATION SERVICE,,#93 122,,CHG  SALE,$118.10,Yes
1/2/2025,44,947735,ROSIE,96,SOUTHERN SANITATION SERVICE,,#79 37,,CHG  SALE,$59.50,Yes
1/2/2025,44,947797,SANDY,98,S.S.S. MINI ROLL-OFF,,#82 030,,CHG  SALE,$13.00,Yes
1/2/2025,44,947806,ROSIE,96,SOUTHERN SANITATION SERVICE,HEB,LS-4,,CHG  SALE,$575.60,Yes
1/2/2025,44,947807,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 348,,CHG  SALE,$58.10,Yes
1/2/2025,44,947812,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 101,,CHG  SALE,$35.80,Yes
1/2/2025,44,947813,SANDY,96,SOUTHERN SANITATION SERVICE,,LS-3 232,,CHG  SALE,$143.20,Yes
1/2/2025,44,947817,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 120,,CHG  SALE,$17.20,Yes
1/2/2025,44,947909,ROSIE,96,SOUTHERN SANITATION SERVICE,,#93 133,,CHG  SALE,$10.20,Yes
1/2/2025,44,947914,ROSIE,96,SOUTHERN SANITATION SERVICE,HEB,#94,,CHG  SALE,$272.00,Yes
1/2/2025,44,947936,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 191,,CHG  SALE,$123.60,Yes
1/2/2025,44,947958,ROSIE,96,SOUTHERN SANITATION SERVICE,,#87 351,,CHG  SALE,$924.40,Yes
1/2/2025,44,947978,SANDY,96,SOUTHERN SANITATION SERVICE,HEB,LS-3,,CHG  SALE,$334.30,Yes
1/2/2025,44,948005,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 98,,CHG  SALE,$23.20,Yes
1/2/2025,44,948017,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 270,,CHG  SALE,$57.20,Yes
1/2/2025,44,948025,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 355,,CHG  SALE,$39.00,Yes
1/2/2025,44,948092,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 140,,CHG  SALE,$135.70,Yes
1/2/2025,44,948110,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 174,,CHG  SALE,$68.80,Yes
1/2/2025,44,948119,SANDY,96,SOUTHERN SANITATION SERVICE,OJOS LOCOS,LS-4,,CHG  SALE,$39.00,Yes
1/2/2025,44,948126,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 371,,CHG  SALE,$12.50,Yes
1/2/2025,44,948151,ROSIE,96,SOUTHERN SANITATION SERVICE,,LS-4 345,,CHG  SALE,$151.50,Yes
1/2/2025,44,948170,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 325,,CHG  SALE,$8.80,Yes
1/2/2025,44,948172,SANDY,96,SOUTHERN SANITATION SERVICE,,#94 190,,CHG  SALE,$49.20,Yes
1/2/2025,44,948178,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 66,,CHG  SALE,$55.80,Yes
1/2/2025,44,948207,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 350,,CHG  SALE,$28.80,Yes
1/2/2025,44,948254,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-4 326,,CHG  SALE,$37.60,Yes
1/3/2025,44,948280,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 158,,CHG  SALE,$49.70,Yes
1/3/2025,44,948282,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 251,,CHG  SALE,$26.00,Yes
1/3/2025,44,948296,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 140,,CHG  SALE,$917.90,No
1/3/2025,44,948299,SANDY,98,S.S.S. MINI ROLL-OFF,,#82 089,,CHG  SALE,$91.60,Yes
1/3/2025,44,948302,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 307,,CHG  SALE,$74.40,Yes
1/3/2025,44,948320,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 117,,CHG  SALE,$74.80,Yes
1/3/2025,44,948329,ROSIE,96,SOUTHERN SANITATION SERVICE,HEB,#85,,CHG  SALE,$372.40,Yes
1/3/2025,44,948331,ROSIE,96,SOUTHERN SANITATION SERVICE,HEB,LS-4,,CHG  SALE,$302.20,Yes
1/3/2025,44,948343,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 17,,CHG  SALE,$1.80,Yes
1/3/2025,44,948374,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 107,,CHG  SALE,$41.30,Yes
1/3/2025,44,948377,ROSIE,96,SOUTHERN SANITATION SERVICE,HEB,#93,,CHG  SALE,$276.20,Yes
1/3/2025,44,948380,SANDY,98,S.S.S. MINI ROLL-OFF,,#82 075,,CHG  SALE,$8.30,Yes
1/3/2025,44,948421,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 159,,CHG  SALE,$185.00,Yes
1/3/2025,44,948425,ROSIE,96,SOUTHERN SANITATION SERVICE,CINEMARK,LS-4,,CHG  SALE,$444.00,Yes
1/3/2025,44,948434,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 41,,CHG  SALE,$497.50,No
1/3/2025,44,948462,ROSIE,96,SOUTHERN SANITATION SERVICE,DOCTORS,#85,,CHG  SALE,$154.30,Yes
