DateIn,Site,Ticket,Operator,CustNum,Customer,Reference,Vehicle,Rolloff,TransType,Amount
4/1/2025,44,988254,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 334,,CHG  SALE,88.3
4/1/2025,44,988305,AKEMY,96,SOUTHERN SANITATION SERVICE,OJOS LOCOS,LS-4,,CHG  SALE,10.7
4/1/2025,44,988331,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 148,,CHG  SALE,31.1
4/1/2025,44,988336,ROSIE,96,SOUTHERN SANITATION SERVICE,,LS-3 155,,CHG  SALE,99.9
4/1/2025,44,988343,AKEMY,96,SOUTHERN SANITATION SERVICE,WALTMART,LS-4,,CHG  SALE,182.7
4/1/2025,44,988358,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 344,,CHG  SALE,290.1
4/1/2025,44,988367,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 215,,CHG  SALE,28.3
4/1/2025,44,988373,AKEMY,96,SOUTHERN SANITATION SERVICE,BEST BUY,LS-3,,CHG  SALE,23.2
4/1/2025,44,988482,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 218,,CHG  SALE,51.6
4/1/2025,44,988530,AKEMY,96,SOUTHERN SANITATION SERVICE,LOWES,LS-4,,CHG  SALE,229.7
4/1/2025,44,988551,ROSIE,96,SOUTHERN SANITATION SERVICE,,LS-3,,CHG  SALE,465.9
4/1/2025,44,988665,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 191,,CHG  SALE,54.4
4/1/2025,44,988696,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 181,,CHG  SALE,122.7
4/1/2025,44,988698,ROSIE,96,SOUTHERN SANITATION SERVICE,HEB,LS-3,,CHG  SALE,270.1
4/1/2025,44,988797,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-4 139,,CHG  SALE,302.7
4/1/2025,44,988831,ROSIE,96,SOUTHERN SANITATION SERVICE,,#93,,CHG  SALE,246.9
4/1/2025,44,988862,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 131,,CHG  SALE,61.8
4/1/2025,44,988863,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-4 117,,CHG  SALE,115.7
4/1/2025,44,988889,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 26,,CHG  SALE,77.6
4/1/2025,44,988894,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 125,,CHG  SALE,80.4
4/1/2025,44,988911,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-4 163,,CHG  SALE,135.7
