DateIn,Site,Ticket,Operator,CustNum,Customer,Reference,Vehicle,Rolloff,TransType,Amount
2025-06-02,44,1017855,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 74,,CHG  SALE,157.10
2025-06-02,44,1017863,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 146,,CHG  SALE,42.30
2025-06-02,44,1017864,AKEMY,96,SOUTHERN SANITATION SERVICE,WALTMART,#79,,CHG  SALE,411.00
2025-06-02,44,1017890,AKEMY,96,SOUTHERN SANITATION SERVICE,LOVES,#93,,CHG  SALE,343.60
2025-06-02,44,1017896,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 137,,CHG  SALE,41.30
2025-06-02,44,1017968,AKEMY,96,SOUTHERN SANITATION SERVICE,,#85,,CHG  SALE,140.90
2025-06-02,44,1017975,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 329,,CHG  SALE,46.90
2025-06-02,44,1018076,AKEMY,96,SOUTHERN SANITATION SERVICE,LOWES,#94,,CHG  SALE,147.40
2025-06-02,44,1018104,ROSIE,96,SOUTHERN SANITATION SERVICE,,#85 144,,CHG  SALE,0.40
2025-06-02,44,1018113,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 70,,CHG  SALE,149.70
2025-06-02,44,1018140,ROSIE,96,SOUTHERN SANITATION SERVICE,LOVE'S,#93,,CHG  SALE,302.70
2025-06-02,44,1018190,ROSIE,96,SOUTHERN SANITATION SERVICE,,LS-4,,CHG  SALE,136.70
2025-06-02,44,1018237,WIZARD,98,S.S.S. MINI ROLL-OFF,,#82 053,,CHG  SALE,24.10
2025-06-02,44,1018247,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 369,,CHG  SALE,30.60
2025-06-02,44,1018254,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 285,,CHG  SALE,269.70
2025-06-02,44,1018377,AKEMY,98,S.S.S. MINI ROLL-OFF,,#82 065,,CHG  SALE,240.30
2025-06-02,44,1018390,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 72,,CHG  SALE,46.90
2025-06-02,44,1018412,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 123,,CHG  SALE,69.70
2025-06-02,44,1018415,WIZARD,98,S.S.S. MINI ROLL-OFF,,#82 033,,CHG  SALE,30.60
2025-06-02,44,1018465,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 284,,CHG  SALE,71.60
2025-06-02,44,1018493,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 188,,CHG  SALE,12.00
2025-06-02,44,1018505,AKEMY,96,SOUTHERN SANITATION SERVICE,,#85 348,,CHG  SALE,133.40
2025-06-03,44,1018513,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 105,,CHG  SALE,160.80
2025-06-03,44,1018519,WIZARD,98,S.S.S. MINI ROLL-OFF,,#82 075,,CHG  SALE,8.30
2025-06-03,44,1018524,ROSIE,96,SOUTHERN SANITATION SERVICE,,#94 190,,CHG  SALE,122.30
2025-06-03,44,1018533,SANDY,96,SOUTHERN SANITATION SERVICE,,#85 256,,CHG  SALE,66.90
2025-06-03,44,1018536,SANDY,96,SOUTHERN SANITATION SERVICE,PILOT,#93,,CHG  SALE,496.10
2025-06-03,44,1018617,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 171,,CHG  SALE,130.20
2025-06-03,44,1018622,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 125,,CHG  SALE,202.70
2025-06-03,44,1018655,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 120,,CHG  SALE,11.10
2025-06-03,44,1018723,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 79,,CHG  SALE,68.30
2025-06-03,44,1018749,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 296,,CHG  SALE,33.00
2025-06-03,44,1018753,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 247,,CHG  SALE,220.80
2025-06-03,44,1018762,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 260,,CHG  SALE,30.20
2025-06-03,44,1018776,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 379,,CHG  SALE,159.00
2025-06-03,44,1018881,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 325,,CHG  SALE,17.60
2025-06-03,44,1018890,ROSIE,96,SOUTHERN SANITATION SERVICE,HEB,LS-3,,CHG  SALE,346.80
2025-06-03,44,1018952,SANDY,96,SOUTHERN SANITATION SERVICE,,#85,,CHG  SALE,190.60
