DateIn,Site,Ticket,Operator,CustNum,Customer,Reference,Vehicle,Rolloff,TransType,Amount
2025-08-01,44,1046790,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 172,,CHG  SALE,460.80
2025-08-01,44,1046795,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 284,,CHG  SALE,66.90
2025-08-01,44,1046822,ROSIE,96,SOUTHERN SANITATION SERVICE,,#93 77,,CHG  SALE,653.80
2025-08-01,44,1046842,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 115,,CHG  SALE,31.10
2025-08-01,44,1046868,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 272,,CHG  SALE,156.20
2025-08-01,44,1046908,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 345,,CHG  SALE,33.90
2025-08-01,44,1046913,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 199,,CHG  SALE,17.60
2025-08-01,44,1046920,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 363,,CHG  SALE,58.10
2025-08-01,44,1046952,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 293,,CHG  SALE,132.90
2025-08-01,44,1046986,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 19,,CHG  SALE,54.40
2025-08-01,44,1046997,ROSIE,96,SOUTHERN SANITATION SERVICE,DOCTORS,#85,,CHG  SALE,183.60
2025-08-01,44,1047018,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 125,,CHG  SALE,209.20
2025-08-01,44,1047043,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 161,,CHG  SALE,89.70
2025-08-01,44,1047053,ROSIE,96,SOUTHERN SANITATION SERVICE,LA POSADA,#79,,CHG  SALE,144.60
2025-08-01,44,1047057,ROSIE,96,SOUTHERN SANITATION SERVICE,WALMART,#93,,CHG  SALE,485.90
2025-08-01,44,1047093,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 272,,CHG  SALE,46.00
2025-08-01,44,1047144,SANDY,96,SOUTHERN SANITATION SERVICE,WALMART,LS-3,,CHG  SALE,96.20
2025-08-01,44,1047190,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 142,,CHG  SALE,27.40
2025-08-01,44,1047196,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 104,,CHG  SALE,53.40
2025-08-01,44,1047202,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 308,,CHG  SALE,251.50
2025-08-01,44,1047261,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 306,,CHG  SALE,46.00
2025-08-01,44,1047264,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 30,,CHG  SALE,42.30
2025-08-01,44,1047285,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 248,,CHG  SALE,155.30
2025-08-01,44,1047290,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 235,,CHG  SALE,39.90
2025-08-01,44,1047293,SANDY,96,SOUTHERN SANITATION SERVICE,WALMART,#79,,CHG  SALE,279.40
2025-08-01,44,1047317,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 184,,CHG  SALE,72.50
2025-08-01,44,1047329,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 54,,CHG  SALE,187.40
2025-08-01,44,1047340,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 80,,CHG  SALE,84.10
2025-08-02,44,1047383,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 81,,CHG  SALE,76.20
2025-08-02,44,1047444,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 163,,CHG  SALE,59.50
2025-08-02,44,1047500,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 251,,CHG  SALE,21.80
2025-08-02,44,1047503,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 151,,CHG  SALE,3.70
2025-08-02,44,1047562,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 44,,CHG  SALE,62.70
2025-08-02,44,1047567,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 293,,CHG  SALE,13.90
2025-08-02,44,1047578,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 95,,CHG  SALE,155.30
2025-08-02,44,1047593,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 56,,CHG  SALE,16.70
2025-08-02,44,1047614,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 220,,CHG  SALE,31.10
2025-08-02,44,1047631,SANDY,96,SOUTHERN SANITATION SERVICE,,"#85 181	",,CHG  SALE,30.60
2025-08-02,44,1047664,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 127,,CHG  SALE,36.70
2025-08-02,44,1047680,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 381,,CHG  SALE,46.50
2025-08-02,44,1047682,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 243,,CHG  SALE,64.60
2025-08-02,44,1047695,SANDY,96,SOUTHERN SANITATION SERVICE,,#94 381,,CHG  SALE,10.00
