DateIn,Site,Ticket,Operator,CustNum,Customer,Reference,Vehicle,Rolloff,TransType,Amount,Amount Match,Landfill_Amount,Trux_Amount,Difference,Entered Ticket,Material Description
2025-07-01,44,1031975,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 53,,CHG  SALE,50.6,False,$50.60,$50.69,$-0.09,1031975,Trash
2025-07-01,44,1031983,ROSIE,96,SOUTHERN SANITATION SERVICE,FLYING J,#94,,CHG  SALE,462.6,False,$462.60,$462.68,$-0.08,1031983,Trash
2025-07-01,44,1031984,ROSIE,96,SOUTHERN SANITATION SERVICE,,#85 339,,CHG  SALE,143.6,False,$143.60,$143.69,$-0.09,1031984,Trash
2025-07-01,44,1032032,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 50,,CHG  SALE,185.5,False,$185.50,$185.54,$-0.04,1032032,Trash
2025-07-01,44,1032038,ROSIE,96,SOUTHERN SANITATION SERVICE,LOWE'S,#79,,CHG  SALE,256.2,False,$256.20,$256.22,$-0.02,1032038,Trash
2025-07-01,44,1032050,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 72,,CHG  SALE,206.4,False,$206.40,$206.46,$-0.06,1032050,Trash
2025-07-01,44,1032076,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 30,,CHG  SALE,499.8,False,$499.80,$499.88,$-0.08,1032076,Trash
2025-07-01,44,1032099,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-4 257,,CHG  SALE,51.6,False,$51.60,$51.62,$-0.02,1032099,Trash
2025-07-01,44,1032129,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 106,,CHG  SALE,73.0,False,$73.00,$73.01,$-0.01,1032129,Trash
2025-07-01,44,1032155,ROSIE,96,SOUTHERN SANITATION SERVICE,LOVES,#85,,CHG  SALE,363.1,False,$363.10,$363.17,$-0.07,1032155,Trash
2025-07-01,44,1032180,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-4 97,,CHG  SALE,122.3,True,$122.30,$122.30,$0.00,1032180,Trash
2025-07-01,44,1032186,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 379,,CHG  SALE,66.0,False,$66.00,$67.43,$-1.43,1032186,Trash
2025-07-01,44,1032239,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-4 110,,CHG  SALE,54.8,False,$54.80,$54.87,$-0.07,1032239,Trash
