DateIn,Site,Ticket,Operator,CustNum,Customer,Reference,Vehicle,Rolloff,TransType,Amount
9/1/2025,44,1060897,WIZARD,96,SOUTHERN SANITATION,,#85,,CHG SALE,63.2
9/1/2025,44,1060919,WIZARD,96,SOUTHERN SANITATION,,#86,,CHG SALE,101.8
9/1/2025,44,1061017,WIZARD,96,SOUTHERN SANITATION,,#87,,CHG SALE,70.2
9/1/2025,44,1061139,WIZARD,96,SOUTHERN SANITATION,,#88,,CHG SALE,86.4
9/1/2025,44,1061160,WIZARD,96,SOUTHERN SANITATION,,#89,,CHG SALE,146.9
9/1/2025,44,1061186,WIZARD,96,SOUTHERN SANITATION,,#90,,CHG SALE,465.4
9/1/2025,44,1060905,WIZARD,96,SOUTHERN SANITATION,,#91,,CHG SALE,16.7
9/1/2025,44,1060917,WIZARD,96,SOUTHERN SANITATION,,#92,,CHG SALE,58.1
9/1/2025,44,1060954,WIZARD,96,SOUTHERN SANITATION,,#93,,CHG SALE,140.4
9/1/2025,44,1060963,WIZARD,96,SOUTHERN SANITATION,,#94,,CHG SALE,47.4
9/1/2025,44,1061024,WIZARD,96,SOUTHERN SANITATION,,#95,,CHG SALE,228.7
9/1/2025,44,1061028,WIZARD,96,SOUTHERN SANITATION,,#96,,CHG SALE,35.3
9/1/2025,44,1061039,WIZARD,96,SOUTHERN SANITATION,,#97,,CHG SALE,36.7
9/1/2025,44,1061042,WIZARD,96,SOUTHERN SANITATION,,#98,,CHG SALE,103.7
9/1/2025,44,1061076,WIZARD,96,SOUTHERN SANITATION,,#99,,CHG SALE,51.1
9/1/2025,44,1061123,WIZARD,96,SOUTHERN SANITATION,,#100,,CHG SALE,114.8
9/1/2025,44,1061213,WIZARD,96,SOUTHERN SANITATION,,#101,,CHG SALE,116.2
9/2/2025,44,1061270,WIZARD,96,SOUTHERN SANITATION,,#102,,CHG SALE,122.3
9/2/2025,44,1061327,WIZARD,96,SOUTHERN SANITATION,,#103,,CHG SALE,89.7
